"branch","url","sha","ahead","behind","contained","patch_equivalent_to_main","patch_check","last_activity","author","subject","changed_file_count","subsystems","name_family","classification","recommended_action","confidence","uncertainty"
"docs/phenotype-journey-harness","https://github.com/KooshaPari/OmniRoute/tree/docs%2Fphenotype-journey-harness","95b82436206fc7eaa89257556914aa4618d08771","6","0","False","False","not-run","7/14/2026 4:28:26 PM","KooshaPari","chore: merge current main into journey harness","0","none","docs-phenotype-journey-harness","salvage","review-and-cherry-pick-to-fresh-main-branch","low","patch identity and subsystem scan incomplete"
"feat/in-flight-fixes-1783052951","https://github.com/KooshaPari/OmniRoute/tree/feat%2Fin-flight-fixes-1783052951","566ddd38bf52669e0f9da2f3cca894c05514bfca","3","177","False","False","not-run","7/3/2026 3:57:56 AM","Koosha Pari","chore(ts): silence baseUrl deprecation in open-sse tsconfig","80","core;docs;other;routing;tests","feat-in-flight-fixes","salvage","review-and-cherry-pick-to-fresh-main-branch","low","patch identity and subsystem scan incomplete"
"feat/l5-123-b10-otel-bridge-2026-06-21","https://github.com/KooshaPari/OmniRoute/tree/feat%2Fl5-123-b10-otel-bridge-2026-06-21","43dbaeab1c0946655fa2eff7f2da5f5ccae76779","4720","224","False","False","not-run","7/2/2026 4:13:28 PM","kooshapari","fix(ci): skip root npm jobs without package manifest","0","none","feat-l5-123-b10-otel-bridge","salvage","review-and-cherry-pick-to-fresh-main-branch","low","patch identity and subsystem scan incomplete"
"feat/native-container-runtimes-v2","https://github.com/KooshaPari/OmniRoute/tree/feat%2Fnative-container-runtimes-v2","38d206ea1dfeda28be372a7e57589c1f774a3110","5","125","False","False","not-run","7/7/2026 6:00:16 PM","KooshaPari","feat(sandbox): native Apple Container, WSL, OrbStack, Podman runtime support","43","ci;core;docs;other;routing;tests;tooling","feat-native-container-runtimes","salvage","review-and-cherry-pick-to-fresh-main-branch","low","patch identity and subsystem scan incomplete"
"feat/native-container-runtimes-v3","https://github.com/KooshaPari/OmniRoute/tree/feat%2Fnative-container-runtimes-v3","63ad4b8757fdb0e987a5a9096977fd19e50b78df","4785","224","False","False","not-run","7/9/2026 1:39:18 AM","KooshaPari","fix(docs): document SKILLS_SANDBOX_RUNTIME and drop unrelated env leftovers","0","none","feat-native-container-runtimes","salvage","review-and-cherry-pick-to-fresh-main-branch","low","patch identity and subsystem scan incomplete"
"feat/omni-foundation-2026-07-05","https://github.com/KooshaPari/OmniRoute/tree/feat%2Fomni-foundation-2026-07-05","dc3dd3860607ea3a96d0eff47b37b3ee5a0f7980","5","224","False","False","not-run","7/5/2026 1:01:13 AM","OmniRoute Rust Agent","docs(sessions): phenodag absorption PR status audit + foundation fix note","0","none","feat-omni-foundation","salvage","review-and-cherry-pick-to-fresh-main-branch","low","patch identity and subsystem scan incomplete"
"feat/open-sse-agent-index-6065-v2","https://github.com/KooshaPari/OmniRoute/tree/feat%2Fopen-sse-agent-index-6065-v2","36b6557aa31b2cd169dfe722b81d1c08d8e678c0","4545","224","False","False","not-run","7/3/2026 10:06:31 PM","KooshaPari","fix(open-sse): resolve 6 false-positive drift findings by extending the gate's allowlists","0","none","feat-open-sse-agent-index-6065","duplicate","retain-one-tip;archive-duplicates-after-review","high","identical tip shared by: feat/open-sse-agent-index-6065-v2, upstream-pr/feat/open-sse-agent-index-6065-v2"
"feat/port-pr-9999-latency-speed-mode","https://github.com/KooshaPari/OmniRoute/tree/feat%2Fport-pr-9999-latency-speed-mode","0ca10af534abc14feb237e5e07e9941f1026db20","4634","224","False","False","not-run","7/3/2026 2:27:51 AM","kooshapari","Rebaseline PR #6011 release drift","0","none","feat-port-pr-9999-latency-speed-mode","duplicate","retain-one-tip;archive-duplicates-after-review","high","identical tip shared by: feat/port-pr-9999-latency-speed-mode, pr-6011-latency-fresh"
"feat/pr1-extend-omni-core","https://github.com/KooshaPari/OmniRoute/tree/feat%2Fpr1-extend-omni-core","7d0cc5e8cef8a4f888d4b66428d5b8b4208514f2","50","224","False","False","not-run","7/10/2026 8:53:11 PM","KooshaPari","chore(work): 2026-07-10 pheno boundary [wip] -> [ok]","0","none","feat-pr1-extend-omni-core","salvage","review-and-cherry-pick-to-fresh-main-branch","low","patch identity and subsystem scan incomplete"
"feat/qgate-reusable-spectrum","https://github.com/KooshaPari/OmniRoute/tree/feat%2Fqgate-reusable-spectrum","7482deabc54e55fcd4fe23ba79c23ddfa8749fd4","0","206","True","False","tip-contained","7/2/2026 3:43:01 PM","KooshaPari","feat(qgate): add quality gate spectrum v2 + lcov threshold (60%) (#219)","0","none","feat-qgate-reusable-spectrum","superseded","archive-after-owner-review","high",""
"feat/router-eval-replay-gate","https://github.com/KooshaPari/OmniRoute/tree/feat%2Frouter-eval-replay-gate","c69d1a345ec903b9cfa4c8ba059cb23189e1499e","4","207","False","False","not-run","7/2/2026 7:49:10 PM","Koosha Pari","feat(router-eval): add retained gate trends","16","core;docs;other;tests;tooling","feat-router-eval-replay-gate","salvage","review-and-cherry-pick-to-fresh-main-branch","low","patch identity and subsystem scan incomplete"
"feat/router-eval-retained-trends","https://github.com/KooshaPari/OmniRoute/tree/feat%2Frouter-eval-retained-trends","e5519762bcb8a68ab9d22439e3ec1838ef6f1a30","5","195","False","False","not-run","7/2/2026 8:31:41 PM","Koosha Pari","fix(docs): sync i18n changelog mirrors","57","ci;core;docs;other;tests;tooling","feat-router-eval-retained-trends","salvage","review-and-cherry-pick-to-fresh-main-branch","low","patch identity and subsystem scan incomplete"
"feat/router-eval-retained-trends-refresh","https://github.com/KooshaPari/OmniRoute/tree/feat%2Frouter-eval-retained-trends-refresh","f3a7dbd1a4acc14f0ad5768bc31ff1e3940eab57","9","195","False","False","not-run","7/3/2026 3:30:41 AM","Koosha Pari","fix(ci): dedupe router eval DB replay","79","ci;core;docs;other;routing;tests;tooling","feat-router-eval-retained-trends-refresh","salvage","review-and-cherry-pick-to-fresh-main-branch","low","patch identity and subsystem scan incomplete"
"feat/signals2","https://github.com/KooshaPari/OmniRoute/tree/feat%2Fsignals2","98dd8df8ffb798c2ddd21e647cbf766d1df386de","1","148","False","False","not-run","7/4/2026 3:16:11 PM","KooshaPari","feat(signals): shutdown flag + signal kinds","2","other","feat-signals2","salvage","review-and-cherry-pick-to-fresh-main-branch","low","patch identity and subsystem scan incomplete"
"feat/svelte-hono-rewrite","https://github.com/KooshaPari/OmniRoute/tree/feat%2Fsvelte-hono-rewrite","a05e7833aa234fb8000bebb5fa1a7c99570e220f","8","195","False","False","not-run","7/4/2026 9:27:13 PM","Koosha Pari","docs(frontend-rewrite): finalize session docs - 00 decisions + 03 DAG + 05 issues + 06 tests","66","ci;core;docs;other;tests;tooling","feat-svelte-hono-rewrite","salvage","review-and-cherry-pick-to-fresh-main-branch","low","patch identity and subsystem scan incomplete"
"feat/v4-svelte-hono-monorepo","https://github.com/KooshaPari/OmniRoute/tree/feat%2Fv4-svelte-hono-monorepo","66de5c6af2f0aa60d837a7f1c1f0958da1314719","46","148","False","False","not-run","7/13/2026 3:44:44 PM","Koosha Pari","docs(proccompose): session 2026-07-12 results - SSE transport + stdio fixes","248","bff-v4;ci;desktop-v4;docs;other;tests;tooling;web-v4","feat-svelte-hono-monorepo","salvage","review-and-cherry-pick-to-fresh-main-branch","low","patch identity and subsystem scan incomplete"
"feat/6144-onboarding-id-redirect","https://github.com/KooshaPari/OmniRoute/tree/feat%2F6144-onboarding-id-redirect","16fa0ba69bec159b310cc369e778f5fba8fb8a7d","4583","224","False","False","not-run","7/5/2026 1:37:15 AM","KooshaPari","fix(dashboard): use connection.id (UUID) not connection.provider (category) in onboarding wizard href (issue #6144)","0","none","feat-6144-onboarding-id-redirect","salvage","review-and-cherry-pick-to-fresh-main-branch","low","patch identity and subsystem scan incomplete"
"feat-sveltekit-dashboard","https://github.com/KooshaPari/OmniRoute/tree/feat-sveltekit-dashboard","f32e4532d18f5f4a495fe83e3d6f91c8fb167cc2","5","207","False","False","not-run","7/2/2026 9:26:35 PM","Koosha Pari","feat(dashboard): SvelteKit+Hono Phase 1 scaffold — Next.js replacement","32","core;docs;other;tests;tooling","feat-sveltekit-dashboard","salvage","review-and-cherry-pick-to-fresh-main-branch","low","patch identity and subsystem scan incomplete"
"fix/caddy-lb-policy-forwarded-headers","https://github.com/KooshaPari/OmniRoute/tree/fix%2Fcaddy-lb-policy-forwarded-headers","f4d439d6eb9c13b9656ef6def035628d481b07fc","4700","148","False","False","not-run","7/6/2026 6:03:52 PM","KooshaPari","fix(bifrost): resolve model cache and kill switch merge conflict","62","ci;core;docs;other;routing;tests","fix-caddy-lb-policy-forwarded-headers","salvage","review-and-cherry-pick-to-fresh-main-branch","low","patch identity and subsystem scan incomplete"
"fix/caddy-lb-policy-forwarded-headers-pr295","https://github.com/KooshaPari/OmniRoute/tree/fix%2Fcaddy-lb-policy-forwarded-headers-pr295","b334212708af0d060ed107573acf0ae6c603d129","4693","122","False","False","not-run","7/5/2026 8:07:35 PM","KooshaPari","Merge remote-tracking branch 'origin/main' into fix/caddy-lb-policy-forwarded-headers-pr295","53","ci;core;docs;other;routing;tests","fix-caddy-lb-policy-forwarded-headers-pr295","salvage","review-and-cherry-pick-to-fresh-main-branch","low","patch identity and subsystem scan incomplete"
"fix/docs-sync-openapi-path-2026-07-05","https://github.com/KooshaPari/OmniRoute/tree/fix%2Fdocs-sync-openapi-path-2026-07-05","80feecac0e7b28400688039911032dac0091a352","0","148","True","False","tip-contained","7/2/2026 11:46:14 PM","KooshaPari","perf(db): batch/memoize combo-path DB lookups (N+1 elimination) (#285)","0","none","fix-docs-sync-openapi-path","superseded","archive-after-owner-review","high",""
"fix/main-workflow-schema-2","https://github.com/KooshaPari/OmniRoute/tree/fix%2Fmain-workflow-schema-2","3f19fce0466c2940856a687b4fd3d7a393c780db","3","186","False","False","not-run","7/3/2026 1:53:53 AM","Koosha Pari","ci: fix docs and build gates","53","ci;core;docs;other;routing","fix-main-workflow-schema","salvage","review-and-cherry-pick-to-fresh-main-branch","low","patch identity and subsystem scan incomplete"
"fix/omniroute-auto-passthrough-404","https://github.com/KooshaPari/OmniRoute/tree/fix%2Fomniroute-auto-passthrough-404","80feecac0e7b28400688039911032dac0091a352","0","148","True","False","tip-contained","7/2/2026 11:46:14 PM","KooshaPari","perf(db): batch/memoize combo-path DB lookups (N+1 elimination) (#285)","0","none","fix-omniroute-auto-passthrough","superseded","archive-after-owner-review","high",""
"fix/pr-5804-minimax-m3-replay","https://github.com/KooshaPari/OmniRoute/tree/fix%2Fpr-5804-minimax-m3-replay","478b77d4117ecefe491b3e996197916f345596db","4625","224","False","False","not-run","7/2/2026 9:42:11 PM","Diego Rodrigues de Sa e Souza","feat(minimax): extract M3 <think> to reasoning_content on OpenAI-format tiers","0","none","fix-pr-5804-minimax-m3-replay","salvage","review-and-cherry-pick-to-fresh-main-branch","low","patch identity and subsystem scan incomplete"
"fix/pr-6002-replay","https://github.com/KooshaPari/OmniRoute/tree/fix%2Fpr-6002-replay","80797e49410fed3dcf76610f86d4b5164b5fad8e","4658","224","False","False","not-run","7/3/2026 3:14:15 PM","kooshapari","fix(ci): replay shared gates and embedding edges","0","none","fix-pr-6002-replay","salvage","review-and-cherry-pick-to-fresh-main-branch","low","patch identity and subsystem scan incomplete"
"fix/pr-6004-replay","https://github.com/KooshaPari/OmniRoute/tree/fix%2Fpr-6004-replay","6ac54109763b37d96b0a2b1fbc60f32aff9c5ad0","4642","224","False","False","not-run","7/3/2026 3:24:02 PM","kooshapari","fix(ci): harden auggie executor and shared gates","0","none","fix-pr-6004-replay","salvage","review-and-cherry-pick-to-fresh-main-branch","low","patch identity and subsystem scan incomplete"
"fix/pr-6005-replay","https://github.com/KooshaPari/OmniRoute/tree/fix%2Fpr-6005-replay","bf00797f899df2a581f2127cb5c8568005b02eaa","4639","224","False","False","not-run","7/3/2026 3:29:32 PM","kooshapari","fix(ci): backport shared gate guards","0","none","fix-pr-6005-replay","salvage","review-and-cherry-pick-to-fresh-main-branch","low","patch identity and subsystem scan incomplete"
"fix/pr-6042-replay","https://github.com/KooshaPari/OmniRoute/tree/fix%2Fpr-6042-replay","67d6a02d61d3e5e80f7e394ed7c0e74877b8f06f","4641","224","False","False","not-run","7/3/2026 4:32:20 PM","kooshapari","fix(ci): rebaseline file-size ratchet for PR 6083 replay","0","none","fix-pr-6042-replay","salvage","review-and-cherry-pick-to-fresh-main-branch","low","patch identity and subsystem scan incomplete"
"fix/probe-failed-loop-cycle-breaker","https://github.com/KooshaPari/OmniRoute/tree/fix%2Fprobe-failed-loop-cycle-breaker","9e736808031be99c66944b993a8d7e29898f8034","4818","224","False","False","not-run","7/10/2026 10:42:23 AM","Koosha Pari","fix(db): break probe-failed/restore loop on large storage.sqlite","0","none","fix-probe-failed-loop-cycle-breaker","salvage","review-and-cherry-pick-to-fresh-main-branch","low","patch identity and subsystem scan incomplete"
"fix/probe-failed-restore-loop","https://github.com/KooshaPari/OmniRoute/tree/fix%2Fprobe-failed-restore-loop","adf9b49488e16489fb0a6fef8a0609ad711a74f2","4551","224","False","False","not-run","7/7/2026 10:24:12 PM","KooshaPari","fix(db): break probe-failed/restore loop that hangs server startup on sql.js OOM","0","none","fix-probe-failed-restore-loop","salvage","review-and-cherry-pick-to-fresh-main-branch","low","patch identity and subsystem scan incomplete"
"fix/quality-dead-code-baseline-4436","https://github.com/KooshaPari/OmniRoute/tree/fix%2Fquality-dead-code-baseline-4436","0b17bc7cc89278c25eeeaab04b6c79add229f01d","4519","224","False","False","not-run","7/4/2026 9:39:19 PM","Koosha Pari","feat(omniroute-go): Phase 0+1 foundation - Go rewrite of backend proxy","0","none","fix-quality-dead-code-baseline","salvage","review-and-cherry-pick-to-fresh-main-branch","low","patch identity and subsystem scan incomplete"
"fix/router-eval-retained-optimization-gate-clean","https://github.com/KooshaPari/OmniRoute/tree/fix%2Frouter-eval-retained-optimization-gate-clean","fb14b9fd2f5eba470c045c99ae393a21c68baf2a","4685","224","False","False","not-run","7/3/2026 3:20:15 PM","KooshaPari","Merge remote-tracking branch 'origin/release/v3.8.44' into fix/router-eval-retained-optimization-gate-clean","0","none","fix-router-eval-retained-optimization-gate-clean","salvage","review-and-cherry-pick-to-fresh-main-branch","low","patch identity and subsystem scan incomplete"
"fix/vitest-blockers","https://github.com/KooshaPari/OmniRoute/tree/fix%2Fvitest-blockers","d3fd047cbd4c2369ddc296823b41990fb5847db2","0","201","True","False","tip-contained","7/2/2026 4:01:18 PM","KooshaPari","refactor(executors): extract stripVersionedToolModelPrefix leaf (PR-016) (#225)","0","none","fix-vitest-blockers","superseded","archive-after-owner-review","high",""
"fix/429-cascade-persist-and-monthly-quota","https://github.com/KooshaPari/OmniRoute/tree/fix%2F429-cascade-persist-and-monthly-quota","535c8927c073c267c350dced6168f6c4516d2642","4686","224","False","False","not-run","7/4/2026 5:04:16 PM","KooshaPari","fix(cors): use locale comparator for allowed origins","0","none","fix-429-cascade-persist-and-monthly-quota","salvage","review-and-cherry-pick-to-fresh-main-branch","low","patch identity and subsystem scan incomplete"
"fix/5211-mcp-internal-auth","https://github.com/KooshaPari/OmniRoute/tree/fix%2F5211-mcp-internal-auth","a59f05f114da937269ee812167f64f68cb9f470d","4535","224","False","False","not-run","6/28/2026 8:56:12 AM","Koosha Pari","chore(mcp): keep server file-size ratchet green","0","none","fix-5211-mcp-internal-auth","salvage","review-and-cherry-pick-to-fresh-main-branch","low","patch identity and subsystem scan incomplete"
"fix/5269-tool-search-upstream","https://github.com/KooshaPari/OmniRoute/tree/fix%2F5269-tool-search-upstream","ed40ca21d60fed4fc81251cea410c3ce79870bae","4728","224","False","False","not-run","7/2/2026 10:02:21 PM","kooshapari","fix(ci): normalize provider user-agent platform tuples","0","none","fix-5269-tool-search-upstream","salvage","review-and-cherry-pick-to-fresh-main-branch","low","patch identity and subsystem scan incomplete"
"fix/5483-openai-compatible-responses-tools","https://github.com/KooshaPari/OmniRoute/tree/fix%2F5483-openai-compatible-responses-tools","1ad3ea3666d49a435d3e439c3b5389c8aacc2c89","4539","224","False","False","not-run","7/4/2026 10:49:33 PM","KooshaPari","docs(audit): backend rewrite audit, research, and plan","0","none","fix-5483-openai-compatible-responses-tools","salvage","review-and-cherry-pick-to-fresh-main-branch","low","patch identity and subsystem scan incomplete"
"fix/5610-glm-5-system-role","https://github.com/KooshaPari/OmniRoute/tree/fix%2F5610-glm-5-system-role","f5cba58193a7e4e2013ff7a57b820189eb8b8162","4544","224","False","False","not-run","7/1/2026 10:56:49 PM","Koosha Pari","fix: preserve system role for GLM 5.x models","0","none","fix-5610-glm-5-system-role","salvage","review-and-cherry-pick-to-fresh-main-branch","low","patch identity and subsystem scan incomplete"
"fix/5696-router-capability-filter","https://github.com/KooshaPari/OmniRoute/tree/fix%2F5696-router-capability-filter","a726b090e82f203d08aed2d37307f0ba800d08c8","4542","224","False","False","not-run","7/3/2026 3:11:32 AM","KooshaPari","fix(combo): reject unsupported modality requests","0","none","fix-5696-router-capability-filter","salvage","review-and-cherry-pick-to-fresh-main-branch","low","patch identity and subsystem scan incomplete"
"fix/5902-ci-upstream-main","https://github.com/KooshaPari/OmniRoute/tree/fix%2F5902-ci-upstream-main","2e1487858ebc1af73e29e2ab0e909210753d1335","4537","224","False","False","not-run","7/2/2026 12:15:54 AM","Koosha Pari","fix: preserve codex bare image model over combo shadowing","0","none","fix-5902-ci-upstream-main","salvage","review-and-cherry-pick-to-fresh-main-branch","low","patch identity and subsystem scan incomplete"
