command: bun scripts/check/check-t11-any-budget.mjs
startedAt: 2026-07-16T22:11:29.221Z
finishedAt: 2026-07-16T22:11:29.345Z
exitCode: 0
signal: none
inputSha256: 4eebb77395344fd1fb74d78960b4d8a998b89a342cedd116add6fdc008de968c
sourceTreeSha256: 5f890fc7377e2346df734962bea2015d5e73ff62166cd58574b776f296db8afa
stdout:
[t11:any-budget] OK - src/app/api/settings/proxy/test/route.ts (explicit any: 0, budget: 0)
[t11:any-budget] OK - open-sse/services/accountSelector.ts (explicit any: 0, budget: 0)
[t11:any-budget] OK - open-sse/services/wildcardRouter.ts (explicit any: 0, budget: 0)
[t11:any-budget] OK - open-sse/services/rateLimitSemaphore.ts (explicit any: 0, budget: 0)
[t11:any-budget] OK - open-sse/services/roleNormalizer.ts (explicit any: 0, budget: 0)
[t11:any-budget] OK - open-sse/services/usage.ts (explicit any: 0, budget: 0)
[t11:any-budget] OK - open-sse/services/rateLimitManager.ts (explicit any: 0, budget: 0)
[t11:any-budget] OK - open-sse/services/tokenRefresh.ts (explicit any: 0, budget: 0)
[t11:any-budget] OK - open-sse/services/backgroundTaskDetector.ts (explicit any: 0, budget: 0)
[t11:any-budget] OK - open-sse/services/accountFallback.ts (explicit any: 0, budget: 0)
[t11:any-budget] OK - open-sse/handlers/responseSanitizer.ts (explicit any: 0, budget: 0)
[t11:any-budget] OK - open-sse/handlers/responseTranslator.ts (explicit any: 0, budget: 0)
[t11:any-budget] OK - open-sse/utils/stream.ts (explicit any: 0, budget: 0)
[t11:any-budget] OK - open-sse/translator/request/openai-responses.ts (explicit any: 0, budget: 0)
[t11:any-budget] OK - open-sse/executors/base.ts (explicit any: 2, budget: 2)
[t11:any-budget] OK - open-sse/executors/kiro.ts (explicit any: 0, budget: 0)
[t11:any-budget] OK - open-sse/executors/cursor.ts (explicit any: 0, budget: 3)
[t11:any-budget] OK - open-sse/executors/qoder.ts (explicit any: 0, budget: 0)
[t11:any-budget] OK - open-sse/utils/comfyuiClient.ts (explicit any: 0, budget: 0)
[t11:any-budget] OK - open-sse/utils/tlsClient.ts (explicit any: 0, budget: 0)
[t11:any-budget] OK - open-sse/utils/proxyFetch.ts (explicit any: 0, budget: 0)
[t11:any-budget] OK - open-sse/utils/error.ts (explicit any: 0, budget: 0)
[t11:any-budget] OK - open-sse/translator/request/openai-to-gemini.ts (explicit any: 0, budget: 0)
[t11:any-budget] OK - open-sse/translator/request/antigravity-to-openai.ts (explicit any: 0, budget: 0)
[t11:any-budget] OK - open-sse/translator/request/claude-to-openai.ts (explicit any: 0, budget: 0)
[t11:any-budget] OK - open-sse/handlers/audioTranscription.ts (explicit any: 0, budget: 0)
[t11:any-budget] OK - open-sse/handlers/sseParser.ts (explicit any: 0, budget: 0)
[t11:any-budget] OK - open-sse/handlers/chatCore.ts (explicit any: 0, budget: 0)
[t11:any-budget] OK - open-sse/config/codexInstructions.ts (explicit any: 0, budget: 0)
[t11:any-budget] OK - open-sse/config/imageRegistry.ts (explicit any: 0, budget: 0)
[t11:any-budget] OK - open-sse/config/registryUtils.ts (explicit any: 0, budget: 0)
[t11:any-budget] OK - open-sse/executors/antigravity.ts (explicit any: 0, budget: 0)
[t11:any-budget] OK - open-sse/executors/default.ts (explicit any: 0, budget: 0)
[t11:any-budget] OK - open-sse/handlers/audioSpeech.ts (explicit any: 0, budget: 0)
[t11:any-budget] OK - open-sse/handlers/embeddings.ts (explicit any: 0, budget: 0)
[t11:any-budget] OK - open-sse/handlers/imageGeneration.ts (explicit any: 3, budget: 3)
[t11:any-budget] OK - open-sse/handlers/moderations.ts (explicit any: 0, budget: 0)
[t11:any-budget] OK - open-sse/handlers/rerank.ts (explicit any: 0, budget: 0)
[t11:any-budget] OK - open-sse/handlers/responsesHandler.ts (explicit any: 0, budget: 0)
[t11:any-budget] OK - open-sse/mcp-server/__tests__/advancedTools.test.ts (explicit any: 0, budget: 0)
[t11:any-budget] OK - open-sse/mcp-server/__tests__/essentialTools.test.ts (explicit any: 0, budget: 0)
[t11:any-budget] OK - open-sse/services/combo.ts (explicit any: 0, budget: 0)
[t11:any-budget] OK - open-sse/services/thinkingBudget.ts (explicit any: 0, budget: 0)
[t11:any-budget] OK - open-sse/translator/helpers/geminiHelper.ts (explicit any: 0, budget: 0)
[t11:any-budget] OK - open-sse/translator/helpers/openaiHelper.ts (explicit any: 0, budget: 0)
[t11:any-budget] OK - open-sse/translator/helpers/responsesApiHelper.ts (explicit any: 0, budget: 0)
[t11:any-budget] OK - open-sse/translator/request/claude-to-gemini.ts (explicit any: 0, budget: 0)
[t11:any-budget] OK - open-sse/translator/request/gemini-to-openai.ts (explicit any: 0, budget: 0)
[t11:any-budget] OK - open-sse/translator/request/openai-to-claude.ts (explicit any: 1, budget: 1)
[t11:any-budget] OK - open-sse/translator/request/openai-to-cursor.ts (explicit any: 0, budget: 0)
[t11:any-budget] OK - open-sse/translator/request/openai-to-kiro.ts (explicit any: 0, budget: 0)
[t11:any-budget] OK - open-sse/translator/response/claude-to-openai.ts (explicit any: 0, budget: 0)
[t11:any-budget] OK - open-sse/translator/response/gemini-to-openai.ts (explicit any: 0, budget: 0)
[t11:any-budget] OK - open-sse/translator/response/kiro-to-openai.ts (explicit any: 0, budget: 0)
[t11:any-budget] OK - open-sse/translator/response/openai-responses.ts (explicit any: 0, budget: 0)
[t11:any-budget] OK - open-sse/translator/response/openai-to-antigravity.ts (explicit any: 0, budget: 0)
[t11:any-budget] OK - open-sse/utils/bypassHandler.ts (explicit any: 0, budget: 0)
[t11:any-budget] OK - open-sse/utils/logger.ts (explicit any: 0, budget: 0)
[t11:any-budget] OK - open-sse/utils/networkProxy.ts (explicit any: 0, budget: 0)
[t11:any-budget] OK - open-sse/utils/ollamaTransform.ts (explicit any: 0, budget: 0)
[t11:any-budget] OK - open-sse/utils/proxyDispatcher.ts (explicit any: 0, budget: 0)
[t11:any-budget] OK - open-sse/utils/requestLogger.ts (explicit any: 0, budget: 0)
[t11:any-budget] OK - open-sse/utils/streamHandler.ts (explicit any: 0, budget: 0)
[t11:any-budget] OK - open-sse/utils/usageTracking.ts (explicit any: 0, budget: 0)
[t11:any-budget] PASS - explicit any budget respected.

stderr:

